babyfood_id,babyfood_name,ingredient_id,ingredient_name
1,具たっぷりグーグーキッチン とり雑炊,70,にんじん
1,具たっぷりグーグーキッチン とり雑炊,84,キャベツ
1,具たっぷりグーグーキッチン とり雑炊,66,だいこん
1,具たっぷりグーグーキッチン とり雑炊,59,さやいんげん
1,具たっぷりグーグーキッチン とり雑炊,104,精白米
1,具たっぷりグーグーキッチン とり雑炊,60,じゃがいも
1,具たっぷりグーグーキッチン とり雑炊,108,かつお昆布だし
1,具たっぷりグーグーキッチン とり雑炊,21,鶏ほぐし身
1,具たっぷりグーグーキッチン とり雑炊,124,しょうゆ
1,具たっぷりグーグーキッチン とり雑炊,115,チキンブイヨン
1,具たっぷりグーグーキッチン とり雑炊,46,しいたけ水煮
1,具たっぷりグーグーキッチン とり雑炊,100,加工でん粉
1,具たっぷりグーグーキッチン とり雑炊,143,クエン酸
1,具たっぷりグーグーキッチン とり雑炊,146,ピロリン酸鉄
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,70,にんじん
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,66,だいこん
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,59,さやいんげん
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,94,うどん
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,108,かつお昆布だし
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,4,しらす
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,124,しょうゆ
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,126,ぶどう糖
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,46,しいたけ水煮
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,150,乾燥わかめ
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,100,加工でん粉
2,具たっぷりグーグーキッチン しらすとわかめの煮込みうどん,146,ピロリン酸鉄
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,70,にんじん
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,66,だいこん
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,59,さやいんげん
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,104,精白米
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,108,かつお昆布だし
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,15,まぐろ水煮
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,46,しいたけ水煮
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,11,ちりめんエキス
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,139,食塩
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,100,加工でん粉
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,143,クエン酸
3,具たっぷりグーグーキッチン まぐろの炊き込みごはん,146,ピロリン酸鉄
4,具たっぷりグーグーキッチン かぼちゃのグラタン,60,じゃがいも
4,具たっぷりグーグーキッチン かぼちゃのグラタン,70,にんじん
4,具たっぷりグーグーキッチン かぼちゃのグラタン,87,ブロッコリー
4,具たっぷりグーグーキッチン かぼちゃのグラタン,52,かぼちゃペースト
4,具たっぷりグーグーキッチン かぼちゃのグラタン,96,スパゲッティ
4,具たっぷりグーグーキッチン かぼちゃのグラタン,24,鶏肉
4,具たっぷりグーグーキッチン かぼちゃのグラタン,98,パン粉
4,具たっぷりグーグーキッチン かぼちゃのグラタン,61,たまねぎ
4,具たっぷりグーグーキッチン かぼちゃのグラタン,95,でん粉
4,具たっぷりグーグーキッチン かぼちゃのグラタン,139,食塩
