name,category,stage,sort_order,is_active
いわし,たんぱく質食品,完了期,1,TRUE
さけほぐし身,たんぱく質食品,後期,2,TRUE
さばほぐし身,たんぱく質食品,完了期,3,TRUE
しらす,たんぱく質食品,後期,4,TRUE
たい,たんぱく質食品,後期,5,TRUE
たいほぐし身,たんぱく質食品,完了期,6,TRUE
たいエキス,たんぱく質食品,後期,7,TRUE
たら,たんぱく質食品,中期,8,TRUE
たらすり身,たんぱく質食品,完了期,9,TRUE
たらほぐし身,たんぱく質食品,初期,10,TRUE
ちりめんエキス,たんぱく質食品,後期,11,TRUE
ひらめほぐし身,たんぱく質食品,完了期,12,TRUE
ほたてエキス,たんぱく質食品,後期,13,TRUE
まぐろ,たんぱく質食品,後期,14,TRUE
まぐろ水煮,たんぱく質食品,完了期,15,TRUE
乾燥さけ,たんぱく質食品,後期,16,TRUE
乾燥たい,たんぱく質食品,中期,17,TRUE
牛肉,たんぱく質食品,後期,18,TRUE
豚ひき肉,たんぱく質食品,完了期,19,TRUE
豚肉,たんぱく質食品,後期,20,TRUE
鶏ほぐし身,たんぱく質食品,初期,21,TRUE
鶏レバー,たんぱく質食品,初期,22,TRUE
鶏レバーペースト,たんぱく質食品,完了期,23,TRUE
鶏肉,たんぱく質食品,中期,24,TRUE
卵白,たんぱく質食品,後期,25,TRUE
卵白粉末,たんぱく質食品,完了期,26,TRUE
卵黄,たんぱく質食品,後期,27,TRUE
鶏卵,たんぱく質食品,完了期,28,TRUE
たんぱく質濃縮ホエイパウダー,たんぱく質食品,後期,29,TRUE
クリーム,たんぱく質食品,後期,30,TRUE
チェダーチーズ,たんぱく質食品,完了期,31,TRUE
チーズ,たんぱく質食品,後期,32,TRUE
バター,たんぱく質食品,中期,33,TRUE
バターオイル,たんぱく質食品,後期,34,TRUE
乳等を主要原料とする食品,たんぱく質食品,中期,35,TRUE
乳糖,たんぱく質食品,中期,36,TRUE
全粉乳,たんぱく質食品,中期,37,TRUE
牛乳,たんぱく質食品,後期,38,TRUE
脱脂粉乳,たんぱく質食品,中期,39,TRUE
大豆,たんぱく質食品,後期,40,TRUE
粉末状大豆たん白,たんぱく質食品,後期,41,TRUE
粒状大豆たん白,たんぱく質食品,後期,42,TRUE
豆乳,たんぱく質食品,後期,43,TRUE
豆腐,たんぱく質食品,後期,44,TRUE
豆腐用凝固剤,たんぱく質食品,完了期,45,TRUE
しいたけ水煮,野菜,後期,46,TRUE
まいたけ水煮,野菜,後期,47,TRUE
乾燥しいたけ,野菜,後期,48,TRUE
かぶペースト,野菜,完了期,49,TRUE
かぼちゃ,野菜,後期,50,TRUE
かぼちゃフレーク,野菜,中期,51,TRUE
かぼちゃペースト,野菜,初期,52,TRUE
かぼちゃ粉末,野菜,中期,53,TRUE
こまつな,野菜,中期,54,TRUE
こまつな粉末,野菜,初期,55,TRUE
ごぼう,野菜,後期,56,TRUE
